,Director - Steve Henley,,Director - Eric Meng,,Director - Darryl Neudorf,,Director - Dan Salkov,,Director - Steve Ross-Talbot,,Member Participation in Co-op Governance (GP001),,,Survey on Future Direction of the Co-op: The highest ranked candidate gets the highest score; thus a score of 1 indicates the candidate was least preferred.,,
,,,,,,,,,,,,,,,,
Ballot,Yes - I approve the candidate,No - I withhold my vote,Yes - I approve the candidate,No - I withhold my vote,Yes - I approve the candidate,No - I withhold my vote,Yes - I approve the candidate,No - I withhold my vote,Yes - I approve the candidate,No - I withhold my vote,Yes - I approve GP001,No - I reject GP001,Abstain,Funding of Mercury to mainnet launch with a RHOC/REV swap and onward operational costs for 1 year.,Funding of Mercury to mainnet launch with a RHOC/REV swap and onward operational costs for 1 year plus Venus development.,Abstain
1,1,,,1,1,,1,,,1,1,,,,,1
2,1,,1,,,1,,1,1,,,,1,,,1
3,,1,,1,1,,,1,1,,1,,,1,2,
4,,1,1,,1,,1,,1,,1,,,2,1,
5,1,,1,,,1,1,,1,,1,,,2,1,
6,1,,1,,1,,,1,,1,1,,,2,1,
7,1,,,1,,1,1,,1,,1,,,2,1,
8,1,,1,,,1,,1,,1,,1,,1,2,
9,1,,1,,,1,1,,1,,1,,,1,2,
10,,1,1,,1,,1,,1,,,,1,,2,
11,1,,1,,1,,1,,1,,,,1,1,2,
12,,1,1,,1,,1,,1,,,,1,2,1,
13,,1,1,,,1,1,,1,,1,,,,,1
14,1,,,1,,1,1,,,1,1,,,2,1,
15,1,,1,,1,,1,,1,,1,,,1,2,
16,1,,1,,1,,1,,1,,,1,,,,1
17,1,,1,,1,,,1,,1,,,1,,,1
18,1,,1,,,1,1,,,1,1,,,2,1,
19,1,,1,,1,,,1,1,,,1,,,,1
20,1,,1,,1,,1,,1,,1,,,2,1,
21,1,,1,,1,,,1,1,,,1,,,,1
22,,1,1,,,1,,1,,1,1,,,1,2,
23,1,,1,,1,,1,,1,,,,1,2,1,
24,1,,1,,1,,,1,1,,,1,,2,1,
25,,1,,1,1,,,1,1,,,,1,1,2,
26,1,,1,,,1,,1,1,,1,,,2,1,
27,1,,,1,,1,,1,,1,,1,,1,2,
28,,1,1,,1,,1,,1,,1,,,1,2,
29,1,,1,,1,,,1,,1,1,,,1,2,
30,1,,1,,,1,1,,,1,1,,,1,2,
31,1,,1,,,1,1,,1,,1,,,1,2,
32,1,,1,,1,,1,,1,,,,1,,,1
33,1,,1,,,1,1,,1,,1,,,1,2,
34,1,,1,,1,,,1,1,,1,,,2,1,
35,1,,1,,1,,,1,1,,,,1,2,1,
36,,1,1,,,1,1,,,1,1,,,,,1
37,1,,1,,,1,1,,1,,1,,,2,1,
38,,1,1,,1,,1,,1,,1,,,1,2,
39,1,,1,,1,,1,,,1,,,1,1,2,
40,,1,1,,1,,1,,1,,1,,,,,1
41,,1,,1,1,,1,,,1,1,,,1,2,
42,1,,1,,1,,,1,1,,1,,,,,1
43,1,,1,,1,,,1,,1,,,1,1,2,
44,,1,1,,1,,1,,,1,1,,,2,1,
45,1,,1,,,1,1,,1,,1,,,1,2,
46,,1,,1,1,,1,,1,,1,,,1,2,
47,1,,1,,1,,,1,1,,1,,,1,2,
48,1,,1,,1,,,1,1,,1,,,1,2,
49,1,,1,,,1,1,,1,,1,,,2,1,
50,1,,,1,1,,,1,,1,1,,,2,1,
51,1,,1,,,1,1,,,1,1,,,1,2,
52,1,,,1,,1,1,,1,,1,,,1,2,
53,,1,1,,,1,1,,1,,1,,,,,1
54,1,,1,,1,,1,,1,,1,,,1,2,
55,1,,1,,,1,1,,1,,1,,,1,2,
56,1,,,1,1,,1,,1,,,,1,2,1,
57,1,,1,,,1,1,,1,,,,1,1,2,
58,1,,1,,,1,,1,1,,1,,,2,1,
59,,1,1,,1,,1,,1,,1,,,,,1
60,1,,1,,1,,,1,1,,,,1,2,1,
61,1,,,1,1,,,1,1,,1,,,1,2,
62,,1,1,,1,,1,,,1,1,,,1,2,
63,1,,,1,,1,1,,1,,,,1,2,1,
64,1,,1,,1,,1,,,1,1,,,,,1
65,1,,1,,,1,,1,1,,1,,,,,1
66,,1,1,,1,,,1,1,,1,,,1,2,
67,1,,1,,1,,,1,1,,1,,,,,1
68,1,,1,,1,,1,,1,,1,,,2,1,
69,1,,1,,1,,,1,,1,,,1,2,1,
70,,1,1,,,1,,1,1,,1,,,,,1
71,,1,,1,,1,1,,1,,1,,,2,1,
72,1,,,1,,1,1,,1,,1,,,2,1,
73,1,,1,,1,,1,,1,,1,,,,,1
74,1,,1,,,1,1,,,1,1,,,,,1
75,1,,1,,,1,1,,1,,1,,,,,1
76,1,,,1,1,,1,,1,,,,1,1,2,
77,1,,1,,,1,1,,1,,1,,,2,1,
78,1,,1,,1,,1,,1,,1,,,,,1
79,,1,1,,1,,1,,1,,1,,,1,2,
80,,1,1,,1,,1,,1,,1,,,2,1,
81,,1,1,,1,,,1,1,,1,,,,1,
82,1,,1,,,1,,1,,1,1,,,2,1,
83,1,,1,,1,,1,,1,,1,,,2,1,
84,1,,,1,,1,1,,1,,1,,,,,1
85,1,,1,,,1,1,,1,,1,,,,,1
86,1,,1,,1,,,1,1,,1,,,1,2,
87,1,,1,,1,,1,,1,,1,,,2,1,
88,1,,1,,1,,1,,1,,1,,,,,1
89,1,,1,,,1,,1,1,,,1,,2,1,
90,,1,1,,,1,1,,1,,1,,,,,1
91,1,,1,,1,,1,,1,,1,,,2,,
92,1,,,1,,1,,1,1,,1,,,2,1,
93,1,,1,,1,,,1,1,,1,,,,,1
94,1,,,1,,1,1,,1,,1,,,,,1
95,,1,1,,,1,1,,,1,1,,,1,2,
96,1,,,1,,1,,1,1,,1,,,2,,
97,1,,1,,1,,1,,1,,1,,,,,1
98,1,,1,,,1,1,,1,,1,,,,,1
99,1,,1,,,1,1,,1,,1,,,1,2,
100,1,,1,,1,,1,,1,,1,,,1,2,
101,1,,1,,,1,,1,1,,,1,,,,1
102,1,,1,,1,,1,,1,,1,,,,,1
103,1,,1,,,1,1,,1,,1,,,,1,
104,1,,1,,,1,,1,,1,,,1,,,1
105,1,,1,,1,,,1,1,,,,1,,,1
106,,1,1,,1,,1,,1,,1,,,1,2,
107,1,,1,,1,,,1,1,,,,1,,,1
108,1,,1,,,1,1,,1,,1,,,,,1
109,1,,1,,1,,,1,1,,1,,,,,1
110,,1,1,,1,,1,,,1,,,1,2,1,
111,1,,1,,,1,,1,1,,1,,,,,1
112,1,,1,,1,,,1,1,,1,,,1,2,
113,1,,1,,1,,,1,1,,1,,,2,1,
114,1,,,1,,1,1,,1,,1,,,,,1
115,1,,1,,1,,1,,,1,1,,,,,1
116,1,,1,,1,,1,,1,,1,,,1,2,
117,,1,,1,,1,1,,1,,1,,,,,1
118,,1,1,,,1,1,,1,,,,1,2,1,
119,1,,1,,,1,1,,1,,1,,,1,2,
120,1,,,1,1,,,1,1,,1,,,1,2,
121,1,,,1,,1,,1,,1,1,,,2,1,
122,1,,1,,1,,1,,1,,1,,,,,1
123,1,,1,,,1,,1,1,,,,1,2,1,
124,,1,,1,,1,1,,1,,1,,,,1,
125,1,,1,,,1,1,,1,,1,,,2,1,
126,1,,1,,,1,,1,1,,1,,,1,2,
127,,1,,1,,1,1,,1,,1,,,2,1,
128,1,,1,,,1,1,,1,,1,,,2,1,
129,,1,,1,1,,1,,,1,1,,,,,1
130,1,,,1,1,,1,,1,,1,,,2,1,
131,1,,1,,,1,,1,,1,1,,,1,2,
132,1,,1,,1,,,1,1,,1,,,1,2,
133,1,,1,,,1,1,,1,,1,,,1,2,
134,1,,1,,1,,,1,1,,1,,,1,2,
135,,1,1,,1,,1,,1,,1,,,1,2,
136,1,,,1,1,,1,,1,,1,,,,,1
137,1,,,1,1,,1,,1,,1,,,,,1
138,1,,,1,1,,1,,1,,1,,,2,1,
139,1,,1,,,1,,1,1,,1,,,2,1,
140,,1,1,,1,,1,,1,,1,,,1,2,
141,1,,1,,1,,,1,1,,1,,,2,1,
142,,1,,1,,1,1,,1,,1,,,,,1
143,1,,1,,,1,,1,1,,,,1,,,1
144,1,,1,,,1,1,,,1,1,,,2,1,
145,1,,1,,1,,,1,1,,1,,,,,1
146,,1,1,,1,,,1,1,,1,,,1,2,
147,1,,1,,1,,,1,1,,1,,,1,2,
148,,1,1,,1,,,1,1,,1,,,,,1
149,1,,1,,,1,,1,1,,1,,,1,2,
150,,1,1,,1,,,1,,1,1,,,,,1
151,,1,1,,,1,,1,,1,1,,,,,1
152,,1,1,,1,,1,,1,,1,,,1,2,
153,,1,,1,1,,,1,,1,1,,,,,1
154,1,,1,,,1,,1,1,,1,,,,,1
155,1,,1,,1,,1,,,1,1,,,,,1
156,1,,1,,,1,1,,1,,1,,,,1,
157,,1,1,,1,,1,,1,,1,,,1,2,
158,1,,1,,1,,,1,1,,1,,,1,2,
159,1,,1,,1,,1,,1,,1,,,2,1,
160,1,,1,,,1,,1,1,,1,,,1,2,
161,1,,1,,1,,,1,,1,,1,,,1,
162,,1,1,,1,,1,,1,,1,,,,,1
163,1,,1,,,1,1,,,1,1,,,,2,
164,,1,1,,,1,1,,1,,1,,,2,1,
165,1,,1,,1,,,1,1,,1,,,1,2,
166,,1,1,,,1,1,,,1,1,,,1,2,
167,1,,1,,1,,1,,1,,,1,,2,1,
168,1,,1,,1,,,1,,1,,,1,1,2,
169,,1,1,,,1,1,,,1,1,,,1,2,
170,,1,1,,1,,1,,1,,1,,,2,1,
171,1,,1,,1,,,1,1,,1,,,1,2,
172,,1,1,,1,,1,,1,,1,,,,,1
173,1,,1,,1,,1,,,1,1,,,1,2,
174,,1,1,,1,,1,,1,,,1,,,,1
175,1,,1,,1,,1,,1,,1,,,,,1
176,1,,1,,1,,,1,1,,1,,,,,1
177,1,,1,,1,,1,,1,,1,,,,,1
178,1,,1,,,1,1,,1,,1,,,1,2,
179,1,,1,,1,,,1,,1,1,,,2,1,
180,1,,1,,1,,1,,1,,1,,,1,2,
181,1,,1,,,1,,1,1,,,,1,,,1
182,1,,1,,,1,1,,1,,1,,,2,1,
183,1,,1,,,1,1,,,1,,,1,2,1,
184,1,,1,,,1,1,,1,,1,,,1,2,
185,,1,1,,1,,1,,1,,1,,,1,2,
186,1,,1,,1,,,1,,1,1,,,1,2,
187,,1,,1,1,,,1,1,,,,1,,2,
188,1,,1,,,1,,1,1,,,1,,1,2,
189,,1,1,,,1,1,,1,,1,,,1,2,
190,,1,1,,1,,1,,1,,1,,,,,1
191,1,,1,,,1,1,,1,,1,,,1,2,
192,1,,1,,,1,1,,,1,1,,,2,1,
